n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,shares
12.0,219.0,663594466988,999999992308,815384609112,4.0,2.0,1.0,0.0,46803652968,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,496.0,496.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500331204081,378278929586,400046751006,412626477296,401225435029,521617145481,925619834711,456621004566,13698630137,769230769231,230769230769,378636363636,0.1,0.7,-0.35,-0.6,-0.2,0.5,-1875,0.0,1875,593
9.0,255.0,604743080614,999999993289,79194630341,3.0,1.0,1.0,0.0,49137254902,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799755687423,500466753998,500962518137,501006734234,500007119405,341245791246,148947811448,43137254902,156862745098,733333333333,266666666667,286914600551,333333333333,0.7,-11875,-125,-0.1,0.0,0.0,0.5,0.0,711
9.0,211.0,575129530699,999999991597,66386554064,3.0,1.0,1.0,0.0,439336492891,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918.0,918.0,918.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217792288518,33334456999,333514249339,333335358046,682188293744,702222222222,323333333333,568720379147,947867298578,857142857143,142857142857,495833333333,0.1,1.0,-466666666667,-0.8,-133333333333,0.0,0.0,0.5,0.0,1500
9.0,531.0,503787877834,999999996904,665634672862,9.0,0.0,1.0,0.0,440489642185,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285732164707,419299641782,49465082574,289047184252,285715975818,42984968735,100704665705,414312617702,207156308851,666666666667,333333333333,385965171192,136363636364,0.8,-369696969697,-0.6,-166666666667,0.0,0.0,0.5,0.0,1200
13.0,1072.0,41564561695,999999998565,540889525766,19.0,19.0,20.0,0.0,46828358209,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,16000.0,315115789474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286328101715,287935517322,285751849112,28571675324,885426777861,513502122877,281003475691,746268656716,121268656716,860215053763,139784946237,411127435065,333333333333,1.0,-220192307692,-0.5,-0.05,454545454545,136363636364,454545454545,136363636364,505
10.0,370.0,559888577828,999999995495,698198195053,2.0,2.0,0.0,0.0,435945945946,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8500.0,8500.0,8500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222452755449,306717575824,222312775078,222242903103,626581580813,437408648699,711841921519,297297297297,27027027027,52380952381,47619047619,350609996065,136363636364,0.6,-195,-0.4,-0.1,642857142857,214285714286,142857142857,214285714286,855
8.0,960.0,418162618355,999999998339,54983388613,21.0,20.0,20.0,0.0,465416666667,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,16000.0,315115789474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200816655822,114705387413,200243688545,200153281713,825173249979,514480300844,268302724212,802083333333,166666666667,827956989247,172043010753,402038567493,0.1,1.0,-224479166667,-0.5,-0.05,0.0,0.0,0.5,0.0,556
12.0,989.0,433573634981,999999998415,572107764545,20.0,20.0,20.0,0.0,461779575329,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,16000.0,315115789474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222243573751,150732973266,243435475507,222236031538,561383590699,543474234099,298613469863,839231547017,151668351871,84693877551,15306122449,427720492359,0.1,1.0,-242777777778,-0.5,-0.05,1.0,0.5,0.5,0.5,891
11.0,97.0,670103085875,999999979592,836734676801,2.0,0.0,0.0,0.0,485567010309,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458250415016,289794309233,286618834452,296958587737,454412411842,538888888889,161111111111,309278350515,20618556701,0.6,0.4,566666666667,0.4,0.8,-125,-125,-125,125,0.0,375,0.0,3600
10.0,231.0,636363633609,999999992754,797101443499,4.0,1.0,1.0,1.0,509090909091,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000958117,400000263554,839997207202,400006328035,400020378274,313888888889,518518518519,38961038961,30303030303,5625,4375,298412698413,0.1,0.5,-238095238095,-0.5,-0.1,0.0,0.0,0.5,0.0,710
